date,sku,family,qty,unit_cost
2022-01,SKU1_001,FAM1,17,6.52
2022-02,SKU1_001,FAM1,16,6.52
2022-03,SKU1_001,FAM1,18,6.52
2022-04,SKU1_001,FAM1,20,6.52
2022-05,SKU1_001,FAM1,17,6.52
2022-06,SKU1_001,FAM1,17,6.52
2022-07,SKU1_001,FAM1,21,6.52
2022-08,SKU1_001,FAM1,19,6.52
2022-09,SKU1_001,FAM1,17,6.52
2022-10,SKU1_001,FAM1,19,6.52
2022-11,SKU1_001,FAM1,17,6.52
2022-12,SKU1_001,FAM1,17,6.52
2023-01,SKU1_001,FAM1,18,6.52
2023-02,SKU1_001,FAM1,14,6.52
2023-03,SKU1_001,FAM1,14,6.52
2023-04,SKU1_001,FAM1,16,6.52
2023-05,SKU1_001,FAM1,15,6.52
2023-06,SKU1_001,FAM1,18,6.52
2023-07,SKU1_001,FAM1,15,6.52
2023-08,SKU1_001,FAM1,14,6.52
2023-09,SKU1_001,FAM1,20,6.52
2023-10,SKU1_001,FAM1,16,6.52
2023-11,SKU1_001,FAM1,17,6.52
2023-12,SKU1_001,FAM1,14,6.52
2024-01,SKU1_001,FAM1,15,6.52
2024-02,SKU1_001,FAM1,17,6.52
2024-03,SKU1_001,FAM1,14,6.52
2024-04,SKU1_001,FAM1,25,6.52
2024-05,SKU1_001,FAM1,16,6.52
2024-06,SKU1_001,FAM1,16,6.52
2024-07,SKU1_001,FAM1,16,6.52
2024-08,SKU1_001,FAM1,21,6.52
2024-09,SKU1_001,FAM1,18,6.52
2024-10,SKU1_001,FAM1,15,6.52
2024-11,SKU1_001,FAM1,25,6.52
2024-12,SKU1_001,FAM1,16,6.52
2022-01,SKU1_002,FAM1,18,5.8
2022-02,SKU1_002,FAM1,20,5.8
2022-03,SKU1_002,FAM1,17,5.8
2022-04,SKU1_002,FAM1,19,5.8
2022-05,SKU1_002,FAM1,15,5.8
2022-06,SKU1_002,FAM1,17,5.8
2022-07,SKU1_002,FAM1,21,5.8
2022-08,SKU1_002,FAM1,15,5.8
2022-09,SKU1_002,FAM1,20,5.8
2022-10,SKU1_002,FAM1,22,5.8
2022-11,SKU1_002,FAM1,19,5.8
2022-12,SKU1_002,FAM1,14,5.8
2023-01,SKU1_002,FAM1,19,5.8
2023-02,SKU1_002,FAM1,18,5.8
2023-03,SKU1_002,FAM1,25,5.8
2023-04,SKU1_002,FAM1,19,5.8
